epoch,train_loss,train_f1,train_acc,train_iou,val_loss,val_f1,val_acc,val_iou
1,0.612925540961203,0.07040635631689533,0.7011618067006595,0.036487659745037024,0.5707906782627106,9.210041576759117e-05,0.7755569950226815,4.60523286031013e-05
2,0.5684753954410553,2.2803849662130718e-05,0.7312563286452997,1.1402054836437524e-05,0.5018054508874493,0.0,0.7756327967489919,0.0
3,0.5776517127380997,1.2565167262154764e-05,0.7312488868588307,6.282623102182444e-06,1.1439305317978705,0.0015404910287762847,0.7757228728263609,0.0007708392498626634
4,0.5608497051919092,0.011984705311186429,0.7282871809162077,0.006028477418259707,0.5340024415523775,0.0,0.7756327967489919,0.0
5,0.5538880075099039,0.1676068912941773,0.7207257630395107,0.09146885048730302,0.6219697633097249,0.03617167919799499,0.7728502827305948,0.018418961991149455
6,0.5537704312410511,0.2205742834983677,0.7297587160204277,0.12395812955430295,0.6347075902646587,0.01088782220755264,0.7757939984721522,0.005473709491656796
7,0.5418487457466907,0.01881030813962195,0.7295781119925077,0.009494450842795717,0.47999516129493713,0.08473709841832552,0.7765928699124244,0.044243063627634305
8,0.5446002119388736,0.06684859851618387,0.7327895868019979,0.03458011538303381,0.47798122513678765,0.0015190955572483107,0.7757944906911542,0.0007601251299781067
9,0.5284219098384263,0.10294678070115569,0.7295838027703957,0.054266680372417324,0.46799571139197194,0.33181480970013844,0.7951802899760585,0.19890765823217366
10,0.5487886506025909,0.21806521668648102,0.7270134472456135,0.12237553176945533,0.4511158360588935,0.11414399968128443,0.7811038109564012,0.0605263602639829
11,0.539817402841615,0.09220645437990281,0.731561692034612,0.04833146363850005,0.42761658756963666,0.218589163641551,0.7950862761466734,0.12270564385270602
12,0.530845696808862,0.15451500150277417,0.7340106651431224,0.08372595909942122,0.4535164895557588,0.14068431367548362,0.7843957716418851,0.0756645655765899
13,0.5173581345159499,0.3334382003489877,0.7493131043481045,0.20007550900231336,0.4183311596993477,0.415461674255681,0.8136269354051159,0.2621973022082142
14,0.4995657606203048,0.40545049020925106,0.766168375484279,0.2542727508426238,0.41356226681701597,0.5104439478883623,0.7988244333574849,0.3426819334289181
15,0.509591670309911,0.44295003657312243,0.7752589866763255,0.2844802973427027,0.43576474968464146,0.498678439853602,0.8058592273342994,0.3321596472676876
16,0.4996636104388315,0.4348707088076379,0.7737192247734695,0.27784970305957307,0.4379113792411743,0.37887335091119867,0.8029962355090726,0.23370990238434167
17,0.4807160529689711,0.5054131347178553,0.7859044309522285,0.338162435692518,0.4310030442091726,0.32931271089297537,0.7955238588394657,0.19711211849166077
18,0.48751692266249264,0.5033813803697379,0.7844609119853035,0.33634579562701,0.4250743701573341,0.5368707454975797,0.8228808987525201,0.3669332315278996
19,0.4614519893390233,0.5531622519559566,0.7997412759749616,0.3823250068667117,0.42348277040066257,0.5021583629860324,0.8012874972435736,0.3352546427986297
20,0.4433293310833759,0.5701927587146837,0.8057449841108478,0.39878995031673803,0.4008183496132974,0.5771794593676903,0.8234740226499496,0.40565864976280736
